STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
JU547,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug B (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as L4 5 Oct 04.",MAF,P7B15
JU548,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug C (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as dauer 4 Oct 04.",MAF,P7C1
JU549,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug C (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as dauer 4 Oct 04.",MAF,P7C2
JU550,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug C (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as dauer 4 Oct 04.",MAF,P7C3
JU551,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug C (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as dauer 4/ Oct 04.",MAF,P7C4
JU552,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug C (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as dauer 4 Oct 04.",MAF,P7C5
JU553,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug C (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as dauer 4 Oct 04.",MAF,P7C6
JU554,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug D (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as L4 5 Oct 04.",MAF,P7D1
JU555,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug E (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as L4 5 Oct 04.",MAF,P7E1
JU556,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug E (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as L4 5 Oct 04.",MAF,P7E2
JU557,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug E (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as L4 5 Oct 04.",MAF,P7E3
JU558,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug F (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as young adult 5 Oct 04.",MAF,P7F2
JU559,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug G (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as dauer 4 Oct 04.",MAF,P7G1
JU560,Caenorhabditis elegans,wild isolate ,"Isolated from sowbug G (Oniscus asellus) in compost heap in Primel-Tregastel (Finistère, France), 03 Oct 04. Picked as L4 7 Oct 04.",MAF,P7G2
JU603,Caenorhabditis elegans,"arIs92[egl-17p::NLS-CFP-lacZ, unc-4(+), ttx-3::GFP] in PB303 background",Is  from JU480 (=GS3582 without unc-4(e120)) introgressed 10x into PB303,CB,10.PB303
JU604,Caenorhabditis elegans,lin-45(n2018)IV in PB306 background,lin-45(n2018) from WU48 introgressed 15x into PB306. dpy-20(e1282) from WU48 removed. X chr. of PB306. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU605,Caenorhabditis elegans,let-23(sy1)II in N2 background,let-23(sy1) introgressed 4x in N2 from PS79. dpy-10(e128) from PS79 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU606,Caenorhabditis elegans,let-23(sy1)II in AB1 background,let-23(sy1) introgressed 11x in AB1 from PS79. dpy-10(e128) from PS79 removed. X  chr. from AB1. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU607,Caenorhabditis elegans,let-23(sy1)II in PS2025 background,let-23(sy1) introgressed 13x in PS2025 from PS79.  dpy-10(e128) from PS79 removed. X chr. of PS2025. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU561,Caenorhabditis elegans,wild isolate,"Isolated from a sowbug found in the tube of compost  from Hent ar Rhun, Finistère, France, on 3 Oct O4. Picked on 4 Oct 04.",MAF,P9cl1
JU562,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as young adult on 5 Oct 04.",MAF,P9A3
JU563,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as small adult on 5 Oct 04. Yielded 5 F1 larvae (1yg ad, 3 L4, 1 L3) on 8 Oct 04.",MAF,P9A7
JU564,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L4 on 6 Oct 04.",MAF,P9E1
JU565,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L3d on 6 Oct 04.",MAF,P9F1
JU566,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L3d on 6 Oct 04.",MAF,P9F2
JU567,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L4 on 6 Oct 04.",MAF,P9F5
JU568,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L3/4 on 6 Oct 04.",MAF,P9G1
JU569,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L3/4 on 6 Oct 04.",MAF,P9G6
JU570,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L3/4 on 6 Oct 04.",MAF,P9H1
JU571,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L3/4 on 6 Oct 04.",MAF,P9H6
JU572,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Hent ar Rhun, Finistère, France on 3 Oct 04. Picked as L3/4 on 6 Oct 04.",MAF,P9H7
JU573,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA1.1
JU574,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA1.2
JU575,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA2.1
JU576,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA4.2
JU577,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA5.5
JU578,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA5.7
JU579,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA5.9
JU580,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA7.2
JU581,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA9.1
JU582,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA9.3
JU583,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA12.2
JU584,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), collected on 5 Oct 04. Picked as dauer on 5 Oct.",MAF,JA12.3
JU585,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP1.1
JU586,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP1.3
JU587,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP2.7
JU588,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP2.8
JU589,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP2.9
JU590,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP2.10
JU591,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. .Picked as L4 on 8 Oct 04.",MAF,CP2.36
JU592,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP3.8
JU593,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP3.26
JU594,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP3.30
JU595,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP4.1
JU596,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 6 Oct 04. Picked as dauer on 6 Oct 04.",MAF,CP4.7
JU597,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Isolated from a snail in Claude PieauÕs garden, collected on 6 Oct 04. Isolated on 12 Oct 04.",MAF,e1.1
JU598,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Isolated from a snail in Claude PieauÕs garden, collected on 6 Oct 04. Isolated on 12 Oct 04.",MAF,e2.1
JU599,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Isolated from a snail in Claude PieauÕs garden, collected on 6 Oct 04. Isolated on 12 Oct 04.",MAF,e4.1
JU600,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Isolated from a snail in Claude PieauÕs garden, collected on 6 Oct 04. Isolated on 12 Oct 04.",MAF,e14.1
JU608,Caenorhabditis elegans,let-23(sy1)II in JU258 background,let-23(sy1) from PS79 introgressed 11x into JU258 background. X chr from JU258. dpy-10(e128) from PS79 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU609,Caenorhabditis elegans,let-23(sy1)II in CB4856 background,let-23(sy1) from PS79 introgressed 13x into CB4856 background. X chromosome from CB4856. dpy-10(e128) from PS79 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU610,Caenorhabditis briggsae,mfIs5[Cb-egl-17::GFP; Ce-myo-2::GFP],Injection of mk160-161 and myo-2::GFP into AF16. Same Ex as mfIs6. Integration with gamma-rays. Expressed in 100% animals.,MAF,A5.7
JU612,Caenorhabditis briggsae,mfEx11[Cb-zmp-1::GFP; Ce-myo-2::GFP] (acting as a Y chromosome),"Injection of mk172-173 and myo-2::GFP into AF16. Same Ex as mfIs8., integrated by  gamma-rays to yield mfIs7, which was apparently destabilized and here functions as a Y chromosome: only males are GFP+. Maintain by picking hermaphrodites + males.",MAF,B2.2
JU613,Caenorhabditis briggsae,mfIs8[Cb-zmp-1::GFP; Ce-myo-2::GFP],Injection of mk172-173 and myo-2::GFP into AF16. Same Ex as mfIs7. Integration with gamma-rays. ,MAF,B6.3
JU614,Caenorhabditis elegans,mfIs9[Cb-lin-3; ttx-3::GFP;unc-119(+)],Injection of pMA48+ttx-3::GFP+unc-119(+) into unc-119(ed3). Integration with gamma-rays. Same Ex as mfIs10.,MAF,C6.3
JU615,Caenorhabditis elegans,mfIs10[Cb-lin-3; ttx-3::GFP; unc-119(+)],Injection pMA48+ttx-3::GFP+unc-119(+) into unc-119(ed3). Integration with gamma-rays. Same Ex as mfIs9.,MAF,C7.2
JU616,Caenorhabditis briggsae,mfIs11[Cb-lin-3; Ce-myo-2::GFP],Injection pMA48 and myo-2::GFP into AF16. Integration with gamma-rays. Same Ex as mfIs12 and mfIs13.,MAF,D2.1
JU619,Caenorhabditis elegans,bar-1(ga80)X in PS2025 background,bar-1 from EW15  introgressed 10x into PS2025. cf. Milloz et al. Genes & Dev. 2008.,I. Nuez,bar-1-10-PS2025
JU622,Caenorhabditis elegans,wild isolate,"Isolated from leaf litter brought by Franz Back from his garden in Frechendets (Hautes-Pyr_n_es, France) on 16 Oct 04. Some sterility.",MAF,Pyr2.1
JU623,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.1
JU624,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.2
JU625,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.3
JU626,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.4
JU627,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.6
JU628,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.1
JU629,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.13
JU630,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.14
JU631,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.15
JU632,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.16
JU633,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04..",MAF,8.17
JU634,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 8 Dec 04.",MAF,8.18
JU635,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU636,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU637,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU638,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU639,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU640,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU641,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU642,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU643,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU644,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 14 Dec 04.",MAF,
JU645,Caenorhabditis elegans,let-23(sy1)II in PB303 background,let-23(sy1) from PS79 introgressed 15x into PB303. X chromosome of PB303. dpy-10(e128) from PS79 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,let-23-15-PB303
JU646,Caenorhabditis elegans,lin-45(n2018)IV in N2 background,lin-45(n2018) from WU48 introgressed 6x into N2. dpy-20(e1282) from WU48 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,lin-45-6-N2
JU647,Caenorhabditis elegans,lin-45(n2018)IV in PS2025 background,lin-45(n2018) from WU48 introgressed 15x into PS2025. X from PS2025. dpy-20(e1282) from WU48 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,lin-45-15-PS2025
JU649,Caenorhabditis elegans,Wild isolate.,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 1
JU650,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 2
JU651,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 3
JU652,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 4
JU653,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.""",MAF,JA II 5
JU654,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 6
JU655,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 7
JU656,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 8
JU657,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 9
JU658,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 10
JU659,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 11
JU660,Caenorhabditis elegans,wild isolate,"Isolated from the compost heap in Jean-Antoine LepesantÕs garden (Le Perreux sur Marne -94- France), 07 Feb 05. Picked as dauer.",MAF,JA II 12
JU661,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 1
JU662,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 2
JU663,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 3
JU664,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 4
JU665,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 5
JU666,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 6
JU667,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 7
JU668,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 8
JU669,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 9
JU670,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 10
JU671,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 11
JU672,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 14 Feb 05. Picked as dauer.",MAF,CP II 12
JU676,Caenorhabditis elegans,let-60(n1046)IV in JU258 background,let-60(n1046) from MT2124 introgressed 13x into JU258 background. X from MT2124 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,let-60-13-JU258
JU677,Caenorhabditis elegans,let-60(n1046)IV in PS2025 background,let-60(n1046) from MT2124 introgressed 13x into PS2025 background. X from MT2124 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,let-60-13-PS2025
JU678,Caenorhabditis elegans,let-60(n1046)IV in CB4856 background,let-60(n1046) from MT2124 introgressed 13x into CB4856 background. X from MT2124 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,let-60-13-CB4856
JU679,Caenorhabditis elegans,let-60(n1046)IV in PB303 background,let-60(n1046) from MT2124 introgressed 13x into PB303 background. X from MT2124 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,let-60-13-PB303
JU680,Caenorhabditis elegans,let-60(n1046)IV in PB306 background,let-60(n1046) from MT2124 introgressed 13x into PB306 background. X from MT2124 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,let-60-13-PB306.
JU682,Caenorhabditis elegans,mfIs4[egl-17::yfp; daf-6::cfp; unc-119(+)]I in CB4856 background,mfIs4[egl-17::yfp; daf-6::cfp; unc-119(+)]  from JU486 introgressed 11x into CB4856 background. X chromosome from JU486 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU686,Caenorhabditis elegans,mfIs4[egl-17::yfp; daf-6::cfp; unc-119(+)]I in AB1 background,mfIs4[egl-17::yfp; daf-6::cfp; unc-119(+)]  from JU486 introgressed 11x into AB1 background. X chromosome from JU486 removed. cf. Milloz et al. Genes & Dev. 2008.,JM,
JU691,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 06 Apr 05.",MAF,CP3.1
JU692,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 06 Apr 05.",MAF,CP4.2
JU693,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 06 Apr 05.",MAF,CP8.1
JU694,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 06 Apr 05.",MAF,CP10.1
JU695,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 06 Apr 05.",MAF,CP12.3
JU696,Caenorhabditis elegans,wild isolate,"Franconville (Val dÕOise), France. Compost heap in Claude PieauÕs garden, 06 Apr 05.",MAF,CP13.1
JU703,Caenorhabditis elegans,ark-1(sy247)IV; gap-1(n1691)X in N2 background,ark-1(sy247); gap-1(n1691) from HP13 introgressed 4X into N2. cf. Milloz et al. Genes & Dev. 2008.,IN,HP13-4-N2
JU704,Caenorhabditis elegans,ark-1(sy247)IV; gap-1(n1691)X in AB1 background,ark-1(sy247); gap-1(n1691) from HP13 introgressed 10X into AB1. cf. Milloz et al. Genes & Dev. 2008.,IN,HP13-10-AB1
JU705,Caenorhabditis elegans,ark-1(sy247)IV; gap-1(n1691)X in PB306 background,ark-1(sy247); gap-1(n1691) from HP13 introgressed 10X into PB306. cf. Milloz et al. Genes & Dev. 2008.,IN,HP13-10-PB306
JU706,Caenorhabditis elegans,ark-1(sy247)IV; gap-1(n1691)X in PS2025 background,ark-1(sy247); gap-1(n1691) from HP13 introgressed 10X into PS2025. cf. Milloz et al. Genes & Dev. 2008.,IN,HP13-10-PS2025
JU707,Caenorhabditis elegans,ark-1(sy247)IV; gap-1(n1691)X in PB303 background,ark-1(sy247); gap-1(n1691) from HP13 introgressed 10X into PB303. cf. Milloz et al. Genes & Dev. 2008.,IN,HP13-10-PB303
JU708,Caenorhabditis elegans,ark-1(sy247)IV; gap-1(n1691)X in CB4856 background,ark-1(sy247); gap-1(n1691) from HP13 introgressed 10X into CB4856. cf. Milloz et al. Genes & Dev. 2008.,IN,HP13-10-CB4856
JU709,Caenorhabditis elegans,ark-1(sy247)IV; gap-1(n1691)X in JU258 background,ark-1(sy247); gap-1(n1691) from HP13 introgressed 10X into JU258. cf. Milloz et al. Genes & Dev. 2008.,IN,HP13-10-JU258
JU710,Caenorhabditis elegans,sli-1(sy143)gap-1(n1691)unc-2(e55)X in AB1 background,sli-1(sy143)gap-1(n1691)unc-2(e55) X from PS2849 introgressed 10X into AB1. cf. Milloz et al. Genes & Dev. 2008.,IN,PS2849-10-AB1
JU711,Caenorhabditis elegans,sli-1(sy143)gap-1(n1691)unc-2(e55)X in N2 background,sli-1(sy143)gap-1(n1691)unc-2(e55)X from PS2849 introgressed 4X into N2. cf. Milloz et al. Genes & Dev. 2008.,IN,PS2849-4-N2
JU712,Caenorhabditis elegans,sli-1(sy143)gap-1(n1691)unc-2(e55)X in PB306 background,sli-1(sy143)gap-1(n1691)unc-2(e55)X from PS2849 introgressed 10X into PB306. cf. Milloz et al. Genes & Dev. 2008.,IN,PS2849-10-PB306
JU716,Caenorhabditis elegans,sli-1(sy143)gap-1(n1691)unc-2(e55)X in JU258 background,sli-1(sy143)gap-1(n1691)unc-2(e55)X from PS2849 introgressed 10X into JU258. cf. Milloz et al. Genes & Dev. 2008.,IN,PS2849-10-JU258
JU720,Caenorhabditis remanei,mfIs16[myo-2::GFP] ,myo-2::GFP injected into PB4641.Appears to be 100% stable. Most likely integrated. ,IN,
